Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Clarkson R.W., Wayland M.T., Lee J., Freeman T., Watson C.J.",Gene expression profiling of mammary gland development reveals putative roles for death receptors and immune mediators in post-lactational regression.,2004,Breast cancer research : BCR,6,2,,,,,76,http://www.scopus.com/inward/record.url?eid=2-s2.0-1542294200&partnerID=40&md5=bc307c5b438dfc6dc6df97bc86e2dca7,,1465542X,,,,14979921,Breast cancer research : BCR,Article,Scopus
"Hauser P., Schwarz C., Mitterbauer C., Regele H.M., Muhlbacher F., Mayer G., Perco P., Mayer B., Meyer T.W., Oberbauer R.",Genome-wide gene-expression patterns of donor kidney biopsies distinguish primary allograft function,2004,Laboratory Investigation,84,3,,353,361,,33,http://www.scopus.com/inward/record.url?eid=2-s2.0-11144355727&partnerID=40&md5=439bcf0f723e43c6dd4bbcb085ffa335,,236837,,LAINA,10.1038/labinvest.3700037,14704720,Laboratory Investigation,Article,Scopus
"Bloomston M., Durkin A., Yang I., Rojiani M., Rosemurgy A.S., Enkmann S., Yeatman T.J., Zervos E.E.",Identification of molecular markers specific for pancreatic neuroendocrine tumors by genetic profiling of core biopsies,2004,Annals of Surgical Oncology,11,4,,413,419,,16,http://www.scopus.com/inward/record.url?eid=2-s2.0-3142769031&partnerID=40&md5=8b8623d7d69a533bb251ea56404d2a93,,10689265,,ASONF,10.1245/ASO.2004.03.077,15070602,Annals of Surgical Oncology,Article,Scopus
"Stein T., Morris J.S., Davies C.R., Weber-Hall S.J., Duffy M.A., Heath V.J., Bell A.K., Ferrier R.K., Sandilands G.P., Gusterson B.A.","Involution of the mouse mammary gland is associated with an immune cascade and an acute-phase response, involving LBP, CD14 and STAT3.",2004,Breast cancer research : BCR,6,2,,,,,85,http://www.scopus.com/inward/record.url?eid=2-s2.0-1542354246&partnerID=40&md5=5a86e46806b5a74fa34d448cdfd4837a,,1465542X,,,,14979920,Breast cancer research : BCR,Article,Scopus
"Casati P., Walbot V.",Rapid transcriptome responses of maize (Zea mays) to UV-B in irradiated and shielded tissues.,2004,Genome biology,5,3,,,,,45,http://www.scopus.com/inward/record.url?eid=2-s2.0-4644360515&partnerID=40&md5=8814326d9c794c72adbf18f4537b73da,,14656914,,,,15003119,Genome biology,Article,Scopus
"Cheng Y.-H., Aronow B.J., Hossain S., Trapnell B., Kong S., Handwerger S.",Critical role for transcription factor AP-2α in human trophoblast differentiation,2004,Physiological Genomics,18,,,99,107,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-4243066446&partnerID=40&md5=40b9008e0f8128a78077b8dda52d2d63,,15312267,,PHGEF,10.1152/physiolgenomics.00181.2003,15039486,Physiological Genomics,Article,Scopus
"Keen H.L., Ryan M.J., Beyer A., Mathur S., Scheetz T.E., Gackle B.D., Faraci F.M., Casavant T.L., Sigmund C.D.",Gene expression profiling of potential PPARγ target genes in mouse aorta,2004,Physiological Genomics,18,,,33,42,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-4243120941&partnerID=40&md5=d7e1fcd0ed6fcbd9c20b15dee2476f46,,15312267,,PHGEF,10.1152/physiolgenomics.00027.2004,15054141,Physiological Genomics,Article,Scopus
"Ning W., Chu T.J., Li C.J., Choi A.M.K., Peters D.G.",Genome-wide analysis of the endothelial transcriptome under short-term chronic hypoxia,2004,Physiological Genomics,18,,,70,78,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-4243073124&partnerID=40&md5=79b10e2050c48fbcbaccf36416343d51,,15312267,,PHGEF,10.1152/physiolgenomics.00221.2003,15100389,Physiological Genomics,Article,Scopus
"Nguyen D.H., Toshida H., Schurr J., Beuerman R.W.",Microarray analysis of the rat lacrimal gland following the loss of parasympathetic control of secretion,2004,Physiological Genomics,18,,,108,118,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-4243169337&partnerID=40&md5=916a7206c5d5e3099613161b3a67438b,,15312267,,PHGEF,10.1152/physiolgenomics.00011.2004,15084711,Physiological Genomics,Article,Scopus
"Meyer M.H., Dulde E., Meyer Jr. R.A.",The genomic response of the mouse kidney to low-phosphate diet is altered in X-linked hypophosphatemia,2004,Physiological Genomics,18,,,4,11,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-4143096850&partnerID=40&md5=fa577c89326d890dcf6ea7102fb8b901,,15312267,,PHGEF,10.1152/physiolgenomics.00210.2003,15054142,Physiological Genomics,Conference Paper,Scopus
