Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Nagai K., Jinnai I., Hata T., Usui T., Sasaki D., Tsukasaki K., Sugahara K., Hishikawa Y., Yamada Y., Tanaka Y., Koji T., Mano H., Kamihira S., Tomonaga M.",Adhesion-dependent growth of primary adult T cell leukemia cells with down-regulation of HTLV-I p40Tax protein: A novel in vitro model of the growth of acute ATL cells,2008,International Journal of Hematology,88,5,,551,564,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-64249124220&partnerID=40&md5=d2e5f77b53b9310853c651b7e3e2a19e,,9255710,,IJHEE,10.1007/s12185-008-0207-z,19043810,International Journal of Hematology,Article,Scopus
"Longo N.S., Lugar P.L., Yavuz S., Zhang W., Krijger P.H.L., Russ D.E., Jima D.D., Dave S.S., Grammer A.C., Lipsky P.E.",Analysis of somatic hypermutation in X-linked hyper-IgM syndrome shows specific deficiencies in mutational targeting,2009,Blood,113,16,,3706,3715,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-65549160139&partnerID=40&md5=7c31d01b9e760d60e232fbab467d3551,,64971,,BLOOA,10.1182/blood-2008-10-183632,19023113,Blood,Article,Scopus
"Bai W., Wang L., Ji W., Gao H.",Expression profiling of supraglottic carcinoma: PTEN and thrombospondin 2 are associated with inhibition of lymphatic metastasis,2009,Acta Oto-Laryngologica,129,5,,569,574,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-67650004067&partnerID=40&md5=1c982897e44f9d1d9a630438e1f3bbdd,,16489,,AOLAA,10.1080/00016480802294351,18720079,Acta Oto-Laryngologica,Article,Scopus
"Collison K.S., Maqbool Z., Saleh S.M., Inglis A., Makhoul N.J., Bakheet R., Al-Johi M., Al-Rabiah R., Zaidi M.Z., Al-Mohanna F.A.",Effect of dietary monosodium glutamate on trans fat-induced nonalcoholic fatty liver disease,2009,Journal of Lipid Research,50,8,,1521,1537,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-69449085934&partnerID=40&md5=20fbdd9c15977e4feb42eb6341065987,,222275,,JLPRA,10.1194/jlr.M800418-JLR200,19001666,Journal of Lipid Research,Article,Scopus
"Wei Y., Chen S., Yang P., Ma Z., Kang L.",Characterization and comparative profiling of the small RNA transcriptomes in two phases of locust.,2009,Genome biology,10,1,,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-67649885497&partnerID=40&md5=c4b5249c409a977f615721d3142e3b3f,,14656914,,,,19146710,Genome biology,Article,Scopus
"Bucca G., Laing E., Mersinias V., Allenby N., Hurd D., Holdstock J., Brenner V., Harrison M., Smith C.P.",Development and application of versatile high density microarrays for genome-wide analysis of Streptomyces coelicolor: characterization of the HspR regulon.,2009,Genome biology,10,1,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-69449094147&partnerID=40&md5=7fd6dc1f899ebfe7a04ad08933641c58,,14656914,,,,19146703,Genome biology,Article,Scopus
"Hoelker M., Rings F., Lund Q., Ghanem N., Phatsara C., Griese J., Schellander K., Tesfaye D.",Effect of the microenvironment and embryo density on developmental characteristics and gene expression profile of bovine preimplantative embryos cultured in vitro,2009,Reproduction,137,3,,415,425,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-66949146597&partnerID=40&md5=11b31804e4e6be6b68abd96ebeee0e08,,14701626,,RCUKB,10.1530/REP-08-0370,19098140,Reproduction,Article,Scopus
"Nogues C., Fernandez C., Rajmil O., Templado C.",Baseline expression profile of meiotic-specific genes in healthy fertile males,2009,Fertility and Sterility,92,2,,578,582,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-67651096040&partnerID=40&md5=76abc2a87fee73e7285f43b03fa0bbd7,,150282,,FESTA,10.1016/j.fertnstert.2008.06.034,18706547,Fertility and Sterility,Article,Scopus
"Hoerder-Suabedissen A., Wang W.Z., Lee S., Davies K.E., Goffinet A.M., Rakic S., Parnavelas J., Reim K., Nicolic M., Paulsen O., Molnar Z.",Novel markers reveal subpopulations of subplate neurons in the murine cerebral cortex,2009,Cerebral Cortex,19,8,,1738,1750,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-67651091753&partnerID=40&md5=1900ef633b460af4464a662641a12628,,10473211,,CECOE,10.1093/cercor/bhn195,19008461,Cerebral Cortex,Article,Scopus
"Bein K., Wesselkamper S.C., Liu X., Dietsch M., Majumder N., Concel V.J., Medvedovic M., Sartor M.A., Henning L.N., Venditto C., Borchers M.T., Barchowsky A., Weaver T.E., Tichelaar J.W., Prows D.R., Korfhagen T.R., Hardie W.D., Bachurski C.J., Leikauf G.D.",Surfactant-associated protein B is critical to survival in nickel-induced injury in mice,2009,American Journal of Respiratory Cell and Molecular Biology,41,2,,226,236,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-67651148102&partnerID=40&md5=fdc9825ecfe577e201a7f58ea27760e4,,10441549,,AJRBE,10.1165/rcmb.2008-0317OC,19131640,American Journal of Respiratory Cell and Molecular Biology,Article,Scopus
