Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Benes P., Vashishta A., Saraswat-Ohri S., Fusek M., Pospisilova S., Tichy B., Vetvicka V.",Effect of procathepsin D activation peptide on gene expression of breast cancer cells,2006,Cancer Letters,239,1,,46,54,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-33745367661&partnerID=40&md5=280cf01fc9b49b7d965d61258d67c9bd,,3043835,,CALED,10.1016/j.canlet.2005.07.030,16168559,Cancer Letters,Article,Scopus
"Wang Q., Tsao S.W., Ooka T., Nicholls J.M., Cheung H.W., Fu S., Wong Y.C., Wang X.",Anti-apoptotic role of BARF1 in gastric cancer cells,2006,Cancer Letters,238,1,,90,103,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-33745028169&partnerID=40&md5=f84993bef2fe5776a5ce6ab1e6a9e0f8,,3043835,,CALED,10.1016/j.canlet.2005.06.023,16054293,Cancer Letters,Article,Scopus
"Singh J., Manickam P., Shmoish M., Natik S., Denyer G., Handelsman D., Gong D.-W., Dong Q.",Annotation of androgen dependence to human prostate cancer-associated genes by microarray analysis of mouse prostate,2006,Cancer Letters,237,2,,298,304,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33646934051&partnerID=40&md5=98bd04a4db808a3cd058c20441760c35,,3043835,,CALED,10.1016/j.canlet.2005.06.008,16024171,Cancer Letters,Article,Scopus
"Feng H.-C., Tsao S.-W., Ngan H.Y.S., Kwan H.S., Shih S.M., Xue W.-C., Chiu P.M., Chan K.W., Cheung A.N.Y.",Differential gene expression identified in complete hydatidiform mole by combining suppression subtractive hybridization and cDNA microarray,2006,Placenta,27,5-Apr,,521,526,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-33645080437&partnerID=40&md5=8c56dd03003c62922d4f24737925bc0a,,1434004,,PLACD,10.1016/j.placenta.2005.05.005,16026829,Placenta,Article,Scopus
"Hagg D., Englund M.C.O., Jernas M., Schmidt C., Wiklund O., Hulten L.M., Ohlsson B.G., Carlsson L.M.S., Carlsson B., Svensson P.-A.",Oxidized LDL induces a coordinated up-regulation of the glutathione and thioredoxin systems in human macrophages,2006,Atherosclerosis,185,2,,282,289,,16,http://www.scopus.com/inward/record.url?eid=2-s2.0-33644524951&partnerID=40&md5=7246fc9973f05782c33d3a742ce374be,,219150,,ATHSB,10.1016/j.atherosclerosis.2005.06.034,16046214,Atherosclerosis,Article,Scopus
"Hollingshead D., Korade Z., Lewis D.A., Levitt P., Mirnics K.",DNA self-polymers as microarray probes improve assay sensitivity,2006,Journal of Neuroscience Methods,151,2,,216,223,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-33644513748&partnerID=40&md5=196c479a933e4f6cbedbcede3d25d698,,1650270,,JNMED,10.1016/j.jneumeth.2005.07.006,16165216,Journal of Neuroscience Methods,Article,Scopus
"Oswald J., Steudel C., Salchert K., Joergensen B., Thiede C., Ehninger G., Werner C., Bornhauser M.",Gene-expression profiling of CD34<sup>+</sup> hematopoietic cells expanded in a collagen I matrix,2006,Stem Cells,24,3,,494,500,,19,http://www.scopus.com/inward/record.url?eid=2-s2.0-33744978160&partnerID=40&md5=1484593239a2b3d24c93f75912a4b693,,10665099,,STCEE,10.1634/stemcells.2005-0276,16166251,Stem Cells,Article,Scopus
"Svensson P.-A., Asea A., Englund M.C.O., Bausero M.A., Jernas M., Wiklund O., Ohlsson B.G., Carlsson L.M.S., Carlsson B.",Major role of HSP70 as a paracrine inducer of cytokine production in human oxidized LDL treated macrophages,2006,Atherosclerosis,185,1,,32,38,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-30944453701&partnerID=40&md5=54c40242b30bd1af67e442ca63a92662,,219150,,ATHSB,10.1016/j.atherosclerosis.2005.05.007,15993884,Atherosclerosis,Article,Scopus
"Ben-Chetrit E., Bergmann S., Sood R.",Mechanism of the anti-inflammatory effect of colchicine in rheumatic diseases: A possible new outlook through microarray analysis,2006,Rheumatology,45,3,,274,282,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-33644852021&partnerID=40&md5=353fb25aae639c2846001469614b6ccc,,14620324,,RUMAF,10.1093/rheumatology/kei140,16188942,Rheumatology,Article,Scopus
"Staber P.B., Noehammer C., Durkop H., Schauer S., Kenner L., Linkesch W., Hoefler G.",MRNA expression patterns indicate CD30 mediated activation of different apoptosis pathways in anaplastic large cell lymphoma but not in Hodgkin's lymphoma,2006,Leukemia Research,30,3,,343,348,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-30144433100&partnerID=40&md5=18cbe2f32abeb6749bbeb17363dbb49b,,1452126,,LERED,10.1016/j.leukres.2005.08.010,16198418,Leukemia Research,Article,Scopus
"Shou J., Qian H.-R., Lin X., Stewart T., Onyia J.E., Gelbert L.M.",Optimization and validation of small quantity RNA profiling for identifying TNF responses in cultured human vascular endothelial cells,2006,Journal of Pharmacological and Toxicological Methods,53,2,,152,159,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-33644557426&partnerID=40&md5=97322904959d7b13ca7d6bc5a69212d1,,10568719,,JPTME,10.1016/j.vascn.2005.02.004,15878830,Journal of Pharmacological and Toxicological Methods,Article,Scopus
"Tilton S.C., Givan S.A., Pereira C.B., Bailey G.S., Williams D.E.","Toxicogenomic profiling of the hepatic tumor promoters indole-3-carbinol, 17β-estradiol and β-naphthoflavone in rainbow trout",2006,Toxicological Sciences,90,1,,61,72,,30,http://www.scopus.com/inward/record.url?eid=2-s2.0-33144477600&partnerID=40&md5=6b5e6be31b8037589f8f3343f97021fd,,10966080,,TOSCF,10.1093/toxsci/kfi341,16192472,Toxicological Sciences,Article,Scopus
