Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"He X.J., Yamauchi H., Suzuki K., Ueno M., Nakayama H., Doi K.",Gene expression profiles of drug-metabolizing enzymes (DMEs) in rat liver during pregnancy and lactation,2007,Experimental and Molecular Pathology,83,3,,428,434,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-36048976637&partnerID=40&md5=c8a996863068c78b0376daabfec2818f,,144800,,EXMPA,10.1016/j.yexmp.2006.05.002,16824515,Experimental and Molecular Pathology,Article,Scopus
"Parachikova A., Agadjanyan M.G., Cribbs D.H., Blurton-Jones M., Perreau V., Rogers J., Beach T.G., Cotman C.W.",Inflammatory changes parallel the early stages of Alzheimer disease,2007,Neurobiology of Aging,28,12,,1821,1833,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-35148863154&partnerID=40&md5=8e2ebfccd887a0e3c3c62b7f11a5fd1d,,1974580,,NEAGD,10.1016/j.neurobiolaging.2006.08.014,17052803,Neurobiology of Aging,Article,Scopus
"Maes O.C., Xu S., Yu B., Chertkow H.M., Wang E., Schipper H.M.",Transcriptional profiling of Alzheimer blood mononuclear cells by microarray,2007,Neurobiology of Aging,28,12,,1795,1809,,25,http://www.scopus.com/inward/record.url?eid=2-s2.0-35148814074&partnerID=40&md5=ec9bafb47ef6f3f5a70c61b6ff7ae9d3,,1974580,,NEAGD,10.1016/j.neurobiolaging.2006.08.004,16979800,Neurobiology of Aging,Article,Scopus
"Kudo L.C., Karsten S.L., Chen J., Levitt P., Geschwind D.H.",Genetic analysis of anterior-posterior expression gradients in the developing mammalian forebrain,2007,Cerebral Cortex,17,9,,2108,2122,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548038154&partnerID=40&md5=41211e9d2c33fba75cf7b9831b3ed0a5,,10473211,,CECOE,10.1093/cercor/bhl118,17150988,Cerebral Cortex,Article,Scopus
"Gammie S.C., Auger A.P., Jessen H.M., Vanzo R.J., Awad T.A., Stevenson S.A.",Altered gene expression in mice selected for high maternal aggression,2007,"Genes, Brain and Behavior",6,5,,432,443,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-34447097678&partnerID=40&md5=7103120b7e695ea73f05e3fccc9d5307,,16011848,,GBBEA,10.1111/j.1601-183X.2006.00271.x,16939635,"Genes, Brain and Behavior",Article,Scopus
"Mohr P.G., Cahill D.M.","Suppression by ABA of salicylic acid and lignin accumulation and the expression of multiple genes, in Arabidopsis infected with Pseudomonas syringae pv. tomato",2007,Functional and Integrative Genomics,7,3,,181,191,,27,http://www.scopus.com/inward/record.url?eid=2-s2.0-34249655649&partnerID=40&md5=a6fed5af75a662a6ccb467ed57c9afd2,,1438793X,,FIGUB,10.1007/s10142-006-0041-4,17149585,Functional and Integrative Genomics,Article,Scopus
"Oberthuer A., Warnat P., Kahlert Y., Westermann F., Spitz R., Brors B., Hero B., Eils R., Schwab M., Berthold F., Fischer M.",Classification of neuroblastoma patients by published gene-expression markers reveals a low sensitivity for unfavorable courses of MYCN non-amplified disease,2007,Cancer Letters,250,2,,250,267,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-34047144947&partnerID=40&md5=df74a2ea0f2ce9cd676de1b195f32fc6,,3043835,,CALED,10.1016/j.canlet.2006.10.016,17126996,Cancer Letters,Article,Scopus
"Niculescu M.D., Pop E.A., Fischer L.M., Zeisel S.H.",Dietary isoflavones differentially induce gene expression changes in lymphocytes from postmenopausal women who form equol as compared with those who do not,2007,Journal of Nutritional Biochemistry,18,6,,380,390,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-34248184092&partnerID=40&md5=288790b4e07c5d3b566d716087140f4e,,9552863,,JNBIE,10.1016/j.jnutbio.2006.06.002,16963248,Journal of Nutritional Biochemistry,Article,Scopus
"Matsuyama T., Fujiwara A., Nakayasu C., Kamaishi T., Oseko N., Hirono I., Aoki T.",Gene expression of leucocytes in vaccinated Japanese flounder (Paralichthys olivaceus) during the course of experimental infection with Edwardsiella tarda,2007,Fish and Shellfish Immunology,22,6,,598,607,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847707767&partnerID=40&md5=fcf962106717146759f98b088d611669,,10504648,,FSIME,10.1016/j.fsi.2006.08.006,17049272,Fish and Shellfish Immunology,Article,Scopus
"Yu Z., Tang A., Gui Y., Guo X., Zhu H., Long Y., Li Z., Cai Z.","Identification and characteristics of a novel testis-specific gene, Tsc21, in mice and human",2007,Molecular Biology Reports,34,2,,127,134,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247578270&partnerID=40&md5=97670ccd6581a63f69bbff34871c31de,,3014851,,MLBRB,10.1007/s11033-006-9026-6,17091336,Molecular Biology Reports,Article,Scopus
"Karim S., Holmstrom K.-O., Mandal A., Dahl P., Hohmann S., Brader G., Palva E.T., Pirhonen M.","AtPTR3, a wound-induced peptide transporter needed for defence against virulent bacterial pathogens in Arabidopsis",2007,Planta,225,6,,1431,1445,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247352031&partnerID=40&md5=08b97a9b92263df526606c36e20138b3,,320935,,PLANA,10.1007/s00425-006-0451-5,17143616,Planta,Article,Scopus
"Dancu M.B., Tarbell J.M.",Coronary endothelium expresses a pathologic gene pattern compared to aortic endothelium: Correlation of asynchronous hemodynamics and pathology in vivo,2007,Atherosclerosis,192,1,,9,14,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247093323&partnerID=40&md5=ae2109eaffb7e7d78524dfa849cf8ed7,,219150,,ATHSB,10.1016/j.atherosclerosis.2006.05.042,16806232,Atherosclerosis,Article,Scopus
"Roela R.A., Carraro D.M., Brentani H.P., Kaiano J.H.L., Simao D.F., Guarnieiro R., Lopes L.F., Borojevic R., Brentani M.M.",Gene stage-specific expression in the microenvironment of pediatric myelodysplastic syndromes,2007,Leukemia Research,31,5,,579,589,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-34147142807&partnerID=40&md5=f94702e32e22e8e3b6d37480f354a9f8,,1452126,,LERED,10.1016/j.leukres.2006.10.007,17092558,Leukemia Research,Article,Scopus
"Nishizawa H., Pryor-Koishi K., Kato T., Kowa H., Kurahashi H., Udagawa Y.",Microarray Analysis of Differentially Expressed Fetal Genes in Placental Tissue Derived from Early and Late Onset Severe Pre-eclampsia,2007,Placenta,28,6-May,,487,497,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247099770&partnerID=40&md5=070bdd98e1a07db963c86fe32f9f1268,,1434004,,PLACD,10.1016/j.placenta.2006.05.010,16860862,Placenta,Article,Scopus
"Kupferman M.E., Patel V., Sriuranpong V., Amornphimoltham P., Jasser S.A., Mandal M., Zhou G., Wang J., Coombes K., Multani A., Pathak S., Silvio Gutkind J., Myers J.N.",Molecular analysis of anoikis resistance in oral cavity squamous cell carcinoma,2007,Oral Oncology,43,5,,440,454,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-34147160236&partnerID=40&md5=f1771e29c0977338d166df503468bc70,,13688375,,EJCCE,10.1016/j.oraloncology.2006.04.016,16978912,Oral Oncology,Article,Scopus
"Yamaguchi Y., Passeron T., Watabe H., Yasumoto K.-I., Rouzaud F., Hoashi T., Hearing V.J.",The effects of dickkopf 1 on gene expression and wnt signaling by melanocytes: Mechanisms underlying its suppression of melanocyte function and proliferation,2007,Journal of Investigative Dermatology,127,5,,1217,1225,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247219723&partnerID=40&md5=598be1d06a6a67a3d06d66f953c9c18b,,0022202X,,JIDEA,10.1038/sj.jid.5700629,17159916,Journal of Investigative Dermatology,Article,Scopus
"Heguy A., Harvey B.-G., Leopold P.L., Dolgalev I., Raman T., Crystal R.G.",Responses of the human airway epithelium transcriptome to in vivo injury,2007,Physiological Genomics,29,2,,139,148,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247844308&partnerID=40&md5=c5c2d99abf92ba7c935fec9c3f7a0308,,10948341,,PHGEF,10.1152/physiolgenomics.00167.2006,17164391,Physiological Genomics,Article,Scopus
"Barrier A., Roser F., Boelle P.-Y., Franc B., Tse C., Brault D., Lacaine F., Houry S., Callard P., Penna C., Debuire B., Flahault A., Dudoit S., Lemoine A.",Prognosis of stage II colon cancer by non-neoplastic mucosa gene expression profiling,2007,Oncogene,26,18,,2642,2648,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247392921&partnerID=40&md5=a85bbd793af1f2cd28262376aa19a63d,,9509232,,ONCNE,10.1038/sj.onc.1210060,17043639,Oncogene,Article,Scopus
"Raslova H., Kauffmann A., Sekkai D., Ripoche H., Larbret F., Robert T., Le Roux D.T., Kroemer G., Debili N., Dessen P., Lazar V., Vainchenker W.",Interrelation between polyploidization and megakaryocyte differentiation: A gene profiling approach,2007,Blood,109,8,,3225,3234,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-34147179036&partnerID=40&md5=6d3b20c085719085386a70d2be390925,,64971,,BLOOA,10.1182/blood-2006-07-037838,17170127,Blood,Article,Scopus
"Weiland C., Ahr H.J., Vohr H.W., Ellinger-Ziegelbauer H.",Characterization of primary rat proximal tubular cells by gene expression analysis,2007,Toxicology in Vitro,21,3,,466,491,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947361095&partnerID=40&md5=75e3fdf2fe764c4eb323c4b6939d7f1a,,8872333,,TIVIE,10.1016/j.tiv.2006.10.008,17134868,Toxicology in Vitro,Article,Scopus
"Nagel S., Burek C., Venturini L., Scherr M., Quentmeier H., Meyer C., Rosenwald A., Drexler H.G., MacLeod R.A.F.",Comprehensive analysis of homeobox genes in Hodgkin lymphoma cell lines identifies dysregulated expression of HOXB9 mediated via ERK5 signaling and BMI1,2007,Blood,109,7,,3015,3023,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947600542&partnerID=40&md5=d8393dfe9d8e32ab89635cc3061bb38c,,64971,,BLOOA,10.1182/blood-2006-08-044347,17148583,Blood,Article,Scopus
"Akaishi J., Onda M., Okamoto J., Miyamoto S., Nagahama M., Ito K., Yoshida A., Shimizu K.","Down-regulation of an inhibitor of cell growth, transmembrane protein 34 (TMEM34), in anaplastic thyroid cancer",2007,Journal of Cancer Research and Clinical Oncology,133,4,,213,218,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-33846975114&partnerID=40&md5=886e04f66c6cc882fcdaea8d6b4a7d5a,,1715216,,JCROD,10.1007/s00432-006-0159-8,17072649,Journal of Cancer Research and Clinical Oncology,Article,Scopus
"Wilkinson L.J., Duffield M.L., Titball R.W., Lindsay C.D.",Down-regulation of gene transcripts associated with ricin tolerance in human RPMI 2650 cells,2007,Toxicology in Vitro,21,3,,509,520,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947408247&partnerID=40&md5=3498de1c96337dde007615dfaaebf2d3,,8872333,,TIVIE,10.1016/j.tiv.2006.10.015,17166693,Toxicology in Vitro,Article,Scopus
"Zulak K.G., Cornish A., Daskalchuk T.E., Deyholos M.K., Goodenowe D.B., Gordon P.M.K., Klassen D., Pelcher L.E., Sensen C.W., Facchini P.J.",Gene transcript and metabolite profiling of elicitor-induced opium poppy cell cultures reveals the coordinate regulation of primary and secondary metabolism,2007,Planta,225,5,,1085,1106,,24,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947217953&partnerID=40&md5=79fcf458dc0454494b0de73bfede9e24,,320935,,PLANA,10.1007/s00425-006-0419-5,17077972,Planta,Article,Scopus
