Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Lee D.D., Zavadil J., Tomic-Canic M., Blumenberg M.","Comprehensive transcriptional profiling of human epidermis, reconstituted epidermal equivalents, and cultured keratinocytes using DNA microarray chips.",2010,"Methods in molecular biology (Clifton, N.J.)",585,,,193,223,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-75549091097&partnerID=40&md5=4146b9b4990e75d0c626270840b210c4,,19406029,,,,19908006,"Methods in molecular biology (Clifton, N.J.)",Article,Scopus
"Kato G., Kondo H., Aoki T., Hirono I.",BCG vaccine confers adaptive immunity against Mycobacterium sp. infection in fish,2010,Developmental and Comparative Immunology,34,2,,133,140,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-70450221513&partnerID=40&md5=e024988873fadc88eee72bf5e30bdc44,,0145305X,,DCIMD,10.1016/j.dci.2009.08.013,19733586,Developmental and Comparative Immunology,Article,Scopus
"Meade J.D., Cho Y.J., Shester B.R., Walden J.C., Guo Z., Liang P.",Automated fluorescent differential display for cancer gene profiling.,2010,"Methods in molecular biology (Clifton, N.J.)",576,,,99,133,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-74049092762&partnerID=40&md5=dcc83e5af9df5dfc5b54a5221848f70b,,19406029,,,,19882260,"Methods in molecular biology (Clifton, N.J.)",Article,Scopus
"Vilardell F., Iacobuzio-Donahue C.A.",Cancer gene profiling in pancreatic cancer.,2010,"Methods in molecular biology (Clifton, N.J.)",576,,,279,292,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-74049135384&partnerID=40&md5=fe7bf264e62486d5b7150c4303e02614,,19406029,,,,19882267,"Methods in molecular biology (Clifton, N.J.)",Article,Scopus
"Peng W., Zhang Y., Zheng M., Cheng H., Zhu W., Cao C.-M., Xiao R.-P.",Cardioprotection by CaMKII-δB is mediated by phosphorylation of heat shock factor 1 and subsequent expression of inducible heat shock protein 70,2010,Circulation Research,106,1,,102,110,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-74049097964&partnerID=40&md5=c5e4abcafda470e9dd25f33bc9e40573,,97330,,CIRUA,10.1161/CIRCRESAHA.109.210914,19910575,Circulation Research,Article,Scopus
"Matkovich S.J., Wang W., Tu Y., Eschenbacher W.H., Dorn L.E., Condorelli G., Diwan A., Nerbonne J.M., Dorn G.W.",MicroRNA-133a protects against myocardial fibrosis and modulates electrical repolarization without affecting hypertrophy in pressure-overloaded adult hearts,2010,Circulation Research,106,1,,166,175,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-74049096307&partnerID=40&md5=3c7f174b062b19bf564a29bc8b6f7260,,97330,,CIRUA,10.1161/CIRCRESAHA.109.202176,19893015,Circulation Research,Article,Scopus
"Gnatenko D.V., Zhu W., Xu X., Samuel E.T., Monaghan M., Zarrabi M.H., Kim C., Dhundale A., Bahou W.F.",Class prediction models of thrombocytosis using genetic biomarkers.,2010,Blood,115,1,,7,14,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-74949122650&partnerID=40&md5=b56f776c81792b24f21fdee360c56bd0,,15280020,,,10.1182/blood-2009-05-224477,19773543,Blood,Article,Scopus
"Peperzak V., Xiao Y., Veraar E.A.M., Borst J.",CD27 sustains survival of CTLs in virus-infected nonlymphoid tissue in mice by inducing autocrine IL-2 production,2010,Journal of Clinical Investigation,120,1,,168,178,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-74949120423&partnerID=40&md5=c861b26d158a37b9dce3392e21d88d3f,,219738,,JCINA,10.1172/JCI40178,19955658,Journal of Clinical Investigation,Article,Scopus
"Lederman M., Weiss A., Chowers I.",Association of neovascular age-related macular degeneration with specific gene expression patterns in peripheral white blood cells.,2010,Investigative ophthalmology & visual science,51,1,,53,58,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-75749150966&partnerID=40&md5=190d51d4cce0cad728d6a926f2984fe6,,15525783,,,,19684010,Investigative ophthalmology & visual science,Article,Scopus
"Xu H., He M., Pang X., Xu Z.C., Piesman J., Yang X.F.",Characterization of the highly regulated antigen BBA05 in the enzootic cycle of Borrelia burgdorferi,2010,Infection and Immunity,78,1,,100,107,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-73449103589&partnerID=40&md5=9df236da1a482897415372d922d2a954,,199567,,INFIB,10.1128/IAI.01008-09,19822648,Infection and Immunity,Article,Scopus
"Bargaje R., Hariharan M., Scaria V., Pillai B.",Consensus miRNA expression profiles derived from interplatform normalization of microarray data.,2010,"RNA (New York, N.Y.)",16,1,,16,25,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-75649136969&partnerID=40&md5=f089bc92fffb4c25051e7c8175f9e490,,14699001,,,,19948767,"RNA (New York, N.Y.)",Article,Scopus
"Durward M.A., Harms J., Magnani D.M., Eskra L., Splitter G.A.",Discordant Brucella melitensis antigens yield cognate CD8 T cells in vivo,2010,Infection and Immunity,78,1,,168,176,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-73449121465&partnerID=40&md5=5b726d20a690637842fad8c6e027bce7,,199567,,INFIB,10.1128/IAI.00994-09,19884330,Infection and Immunity,Article,Scopus
"Yanai-Balser G.M., Duncan G.A., Eudy J.D., Wang D., Li X., Agarkova I.V., Dunigan D.D., Van Etten J.L.",Microarray analysis of Paramecium bursaria chlorella virus 1 transcription,2010,Journal of Virology,84,1,,532,542,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-72849113546&partnerID=40&md5=b7bf3567ba1ece3ef938dd64c8b774cd,,0022538X,,JOVIA,10.1128/JVI.01698-09,19828609,Journal of Virology,Article,Scopus
